question,answer,context,chunk_id
激光设备工程师需要熟悉哪种设备的工作原理？,,"数量紧缺
动态紧缺
★★
天府新区    
高新区
青羊区
郫都区
崇州市
芯片工艺
整合工程
师
物理、材
料科学相   
关专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备丰富的功率分立技术（Trench   
MOS、SGT、IGBT and SJMOSFET）  
和 BCD 技术工艺集成经验；掌握测   
试模式定义和绘图的基本技能；能   
熟练地检查 WAT 数据并进行 SPC   
数据分析；掌握关键工艺的相关知   
识。
结构紧缺
动态紧缺
★★
天府新区    
高新区
双流区
郫都区
制程工程
师
微电子、
电子工程
相关专业
本科及以
上学历，
3 年及以
上相关工   
作经历
熟悉电器产品的研发、生产流程，对   
产品组装工艺、自动化流程、产品功   
能测试等有深入研究；能够独立开   
发产品结构，并进行技术沟通；能运   
用 PROE、CAD、CORDW 等设计   
软件。
结构紧缺 ★
高新区
双流区
郫都区
重点产业链人才开发目录◎◎第二章
-  35  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
激光设备   
工程师
机械、电
子、自动
化相关专
业
本科及以
上学历，
3 年及以
上相关工   
作经历
熟悉激光刻划设备的工作原理，包",34
中国专利金奖、中国外观设计金奖前2位完成人必须是什么身份？,,8.中国专利金奖、中国外观设计金奖前2位完成人(须为专利发明人或设计人)。,35
成都自贸试验区国际商贸谈判专员需要具备哪些能力？,,"性格开朗，沟通协调能力佳，应变能   
力好，能较好地处理各种人际关系。
数量紧缺 ★
成都自贸
试验区
国际商贸
谈判专员
国际贸     
易、电子
商务、商
务英语相   
关专业
本科及以
上学历，
1 年及以
上相关工   
作经历
具备较强的英语能力； 熟练使用   
Word、Excel、PPT、PS 等常用办   
公软件；熟悉 Internet 环境；具有   
团队合作精神；具备较强的学习能   
力，对市场有一定敏感度，有主动创   
造性；具有较强的数据分析能力；善   
于利用网络资源，具备商务谈判技   
巧，熟悉商务谈判专业术语。
数量紧缺 ★
成都自贸
试验区
重点领域（行业）人才开发目录◎◎第三章
-  125  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
中小学语   
文教师
汉语言文
学、中国
现当代文
学、中国   
古 代 文      
学、学科
教育（语
言）相关   
专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
语文专业素养高，具有扎实的语文   
及教育教学理论专业基础，具有较   
高的教学水平和较强的研究能力；    
具有组织管理能力及团队合作意   
识。
数量紧缺
结构紧缺
供给紧缺
★★★ 全市
中小学数   
学教师
基础数     
学、应用",36
高级嵌入式软件研发工程师的岗位要求中，熟练使用的编程语言和操作系统有哪些？,,"岗位名称 专业要求 资历要求 能力要求 区域导向
高级嵌入式
软件研发工
程师
软件工程、
通信工程相   
关专业
硕士研究生   
及以上学     
历，5 年及
以上相关工   
作经历
熟练使用 C 语言、C++、 Linux、RTOS、
YUNOS，具备嵌入式系统设计经验；熟悉 LTE、      
TDD、FDD 网络系统通信设备嵌入式软件开发；      
具备良好的英语能力，熟悉 51 单片机；具有为不     
同平台移植过嵌入式操作系统的能力。
眉山市
光缆研发制   
造工程师
机械工程、
电气工程、
自动化相关
专业
硕士研究生
及以上学历
具备光缆研发工作经验，掌握光缆制造技术，了解    
行业、技术方案、新材料等发展动态。
眉山市
研发工程师
机械工程、
材料科学相   
关专业
硕士研究生
及以上学历
具备相关研发经验，具有结构设计和调试、优化能    
力，能够对结构外包部分供应商进行评估，并对外    
包部分技术进行引进和转化。
眉山市
药理、病理   
研究员
临床医学、
药理学、病
理学、动物
医学相关专
业
硕士研究生
及以上学历
具备相关项目研究及管理经验，能够承担项目前期    
的洽谈与设计以及后期数据的整理和报告的撰写；    
具有医药卫生、畜牧类助理研究员以上职称或药物    
制剂工、有机合成工职业技能等级证书。",37
成都市“金沙友谊奖”的获得者是谁？,,14.成都市“金沙友谊奖”获得者。,38
图形渲染工程师需要具备什么学历和工作经历？,,"题。
数量紧缺
结构紧缺
供给紧缺
★★★ 天府新区    
高新区
交互设计   
工程师
产品设计
相关专业
硕士研究
生及以上
学历，5
年及以上
相关工作
经历
参与过至少一款成功上线的游戏运   
营期交互设计，具备较为丰富的游   
戏交互设计经验；熟悉交互设计、    
Demo 制作的原型工具，熟悉体验   
设计完整的研发全流程；逻辑清晰， 
善于观察和分析提炼；理解力强，善   
于表达，具备良好的大型团队沟通   
与协作能力；性格开朗，热爱游戏， 
有良好的适应性和责任心。
结构紧缺
供给紧缺
动态紧缺
★★★
天府新区    
高新区
武侯区
成华区
十三、文化旅游产业链
13.1 数字文创
成都市人才开发指引（2025）
-  86  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
图形渲染   
工程师
软件工程
相关专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备扎实的 3D 和数学知识，熟悉   
图形渲染中常用效果的实现方法；    
熟练掌握至少一种主流编程语言，    
如 C/C++，并掌握图形效果开发语   
言，如 HLSL、GLSL 等；深入理解   
图形渲染管线的工作原理，熟悉主   
流游戏引擎，如  Unity 、 Unreal",39
科技创新类包括哪些内容？,,(一)科技创新类,40
资阳市农业经济管理专员需要具备哪些领域的熟悉度？,,"计先进示范典型案例；能熟练使用办公软件及规划    
设计制图软件。
资阳市
农业科技服   
务专员
农学相关专
业
本科及以上
学历，2 年
及以上相关   
工作经历
熟悉公文写作，具备较强的写作能力；能快速收集    
市场资料，跟踪行业进展和科研服务热点，能对农    
业科技服务行业的发展趋势进行分析，为新兴服务    
的开发提供相关建议。
资阳市
高级畜牧师
畜牧学相关
专业
本科及以上
学历，2 年
及以上相关   
工作经历
能独立从事畜牧发展规划和畜牧种业发展规划，开    
展畜牧业标准化建设，指导畜牧业结构调整、规模    
化和标准化养殖、畜禽养殖废弃物无害化处理及资    
源化利用。
资阳市
农业经济管   
理专员
经济管理、
金融学相关
专业
本科及以上
学历，1 年
及以上相关   
工作经历
了解农业农村社会经济现状，熟悉农商文体旅融合    
产业；熟悉农业经济管理、农业对外投资与合作交    
流、农业生态建设管理、新农村建设及农村人居环    
境等领域；具备一定的文字功底。
资阳市
产品工程师 机械工程相   
关专业
本科及以上
学历
具备医疗设备（手术无影灯、医用吊塔、手术床）    
研发设计经验；熟练运用办公及 CAD 制图软件，     
并具备三维制图能力。
资阳市
产业招商专
员
应用经济
学、金融",41
天府新区和高新区在文本中分别对应哪些紧缺岗位？,,"等，熟悉常用渲染优化方法。
结构紧缺
供给紧缺
★★ 天府新区    
高新区
网络安全   
架构师
信息安     
全、网络
工程相关   
专业
本科及以
上学历，
2 年及以
上相关工   
作经历
熟悉 TCP/IP 协议原理及网络机制，  
熟悉常见的网络安全设备，如防火   
墙、IPS/IDS、负载均衡、漏洞评估   
工具、监控产品及审计产品等；掌握   
Web 安全技术，对软件定义安全有   
较深的理解，能搭建符合需求的安   
全系统架构。
结构紧缺
供给紧缺
★★
天府新区    
高新区
青羊区
密码技术   
研究员
密码学及
应用、数
学与应用
数学、计
算机应用
技术相关   
专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备扎实的密码理论基础，具备密   
码算法理论分析、设计及优化等经   
验；具有熟练的 C++、Python 等   
一种编程语言能力，有密码工程化   
从业经验；具有良好的团队协作精   
神和表达能力。
动态紧缺 ★ 高新区
Node.js
全栈工程
师
软件工程
相关专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备丰富的  Node.js  开发工作经   
验，熟悉 ES6、ES7 语法，有 Express   
或 Koa 框架的使用经验；熟练编写",42
有机液态储氢研究员的学历要求是什么？,,"电气工     
程、自动
化、过程
装备与控
制工程相   
关专业
本科及以
上学历，
3 年及以
上相关工   
作经历
熟悉环氧树脂、碳纤维、玻璃纤维等   
复合材料的应用；熟悉氢气瓶产品   
的缠绕铺层结构工艺开发及产品相   
关测试；具备较强的团队协作能力。
结构紧缺 ★
武侯区
新津区
光伏逆变
器工程师
电气工     
程、材料
工程、化
学相关专
业
本科及以
上学历，
2 年及以
上相关工   
作经历
熟悉锂离子电池、锂电池 Pack、系   
统原理、逆变原理等专业知识；具备   
逆变器或 UPS 等软件研发经验，有   
分布式光伏逆变器或家用储能逆变   
器开发经验；熟悉 DSP 应用和各种   
通信外设 SCI、SPI、I2C 的应用。
结构紧缺 ★
新都区
双流区
成都市人才开发指引（2025）
-  78  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
有机液态
储氢研究
员
储能科学
与工程、
氢能科学
与工程相   
关专业
博士研究
生及以上
学历，5
年及以上
相关工作
经历
掌握液态有机载体储氢各环节核心   
技术和产业链各方情况，能跟踪国   
内外氢能领域的前沿技术、行业信   
息、政策信息，制定相关的技术和产   
品研发计划；具备液态有机载体储",43
第三章《重点领域（行业）人才开发目录》中列出的重点领域有哪些？,,"第三章  重点领域（行业） 人才开发目录 .................. 108
一、重点领域.................................................. 108
1.乡村振兴.................................................. 108
2.社会治理.................................................. 115
3.现代金融.................................................. 119
4.世运会.................................................... 121
5. 自贸区建设................................................ 124
二、重点行业.................................................. 126
1.教育行业.................................................. 126
2.卫生行业.................................................. 129",44
乡村振兴类项目属于哪种分类？,,(六)乡村振兴类,45
重点产业类包括哪些内容？,,(二)重点产业类,46
飞行器法规认证工程师需要具备哪些语言能力？,,"器法规认
证工程师
飞行器控
制与信息
工程、机
械设计制
造及其自
动化相关   
专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备认证检测行业经验，有低空飞   
行器行业出口认证经验；具备流利   
的英语口语和优秀的书写能力；具   
备优秀的沟通协调能力，执行力强， 
有良好的团队合作精神和较强的抗   
压能力；对法规标准有很强的研究   
兴趣和理解力。
数量紧缺 ★
天府新区    
高新区
崇州市
2.2 飞行器制造与保障服务
重点产业链人才开发目录◎◎第二章
-  19  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
飞行器设
计工程师
飞行器设
计相关专
业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟悉飞行器设计、航空宇航科学与   
技术、飞行力学、飞行推进系统综合   
控制、制导导航与算法等专业知识；   
熟悉飞行器设计流程、了解飞行器   
设计行业，具备独立完成飞行器总   
体、气动、结构和控制系统设计； 熟   
练使用 UG、ProE、AutoCAD 等。
数量紧缺
供给紧缺
动态紧缺
★★★
高新区
金堂县
流体工程
师
流体力     
学、工程
力学相关   
专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历",47
该岗位要求应聘者具备哪种学历和多少年的相关工作经历？,,"软件开发   
工程师
计算机科
学与技     
术、软件
工程相关   
专业
博士研究
生及以上
学历，5
年及以上
相关工作
经历
熟练掌握 C++、Java、C#、Python   
等编程语言，能够运用相关工具进   
行 AR/VR 软件开发；熟悉 AR/VR   
相关算法和框架，如计算机视觉、图   
形渲染、人机交互等方面的算法和   
框架；能熟练使用  Unity、Unreal   
Engine 等主流的 AR/VR 开发工具； 
了解操作系统、网络编程、数据库等   
计算机系统知识。
数量紧缺
结构紧缺
供给紧缺
★★★ 高新区
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
飞控嵌入
式软件开
发工程师
控制、导
航、制导
相关专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备较强的 C++代码阅读和修改能   
力；具备飞控软件外场调试能力和   
功能测试能力；了解飞控硬件和常   
见外设硬件；了解无人机行业现状、 
技术现状；具有良好沟通能力。
结构紧缺 ★
高新区
双流区
成都市人才开发指引（2025）
6.2 应用软件
-  46  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
医疗云开
发工程师
生物医疗
相关专业
硕士研究",48
什么是国家博士后创新人才支持计划的入选者？,,1.国家博士后创新人才支持计划入选者。,49
